sample,nIGH,nIGK,nIGL,nTCRA,nTCRB,nTCRD,nTCRG, loadIGH,loadIGK,loadIGL,loadTCRA,loadTCRB,loadTCRD,loadTCRG,alphaIGH,alphaIGK,alphaIGL,alphaTCRA,alphaTCRB,alphaTCRD,alphaTCRG
005301a4-1151-4421-9c73-961a7b628b63_gdc_realn_rehead,3,2,0,17,0,0,0,35,4,0,304,0,0,0,0.6959780537443848,0.6931471805599453,0,1.1331600928300771,0,0,0
01d7c202-af14-4720-92ad-6c9ab5273e5b_gdc_realn_rehead,1,0,0,3,0,0,0,3,0,0,38,0,0,0,-0.0,0,0,0.8392695557891106,0,0,0
02b776d9-d5eb-4b34-9854-82d4cfae4751_gdc_realn_rehead,1,3,0,10,0,1,0,6,32,0,247,0,6,0,-0.0,0.65619279201862,0,1.453932245033319,0,-0.0,0
0330e749-318e-4de9-9c99-1443594b6360_gdc_realn_rehead,6,3,1,14,0,1,0,41,18,2,665,0,7,0,1.4817025012404104,0.900908873225472,-0.0,1.0843767818149654,0,-0.0,0
033f395d-f27b-4199-a16f-6bd6b18449a4_gdc_realn_rehead,11,8,2,26,0,2,0,61,117,4,1713,0,103,0,1.7476491348104342,1.0289159462803785,0.6931471805599453,1.075343236886366,0,0.09576329345209114,0
03e07184-68da-4e59-abb6-c5b6526c990c_gdc_realn_rehead,1,0,1,11,0,0,0,9,0,6,103,0,0,0,-0.0,0,-0.0,1.4838109702843412,0,0,0
053bca4b-74e4-4fba-bd0d-7b2c2d678a66_gdc_realn_rehead,1,2,1,7,0,0,0,9,5,7,90,0,0,0,-0.0,0.6730116670092565,-0.0,1.3668252874927862,0,0,0
05856688-714a-446b-8652-d38e94d7ae93_gdc_realn_rehead,5,3,1,19,1,1,0,26,14,2,1748,2,5,0,1.377819508039033,0.9922819748525737,-0.0,0.6449779055669055,-0.0,-0.0,0
058ef2a4-a1f9-40ea-ad44-b4e00dc5b014_gdc_realn_rehead,0,0,0,6,0,1,0,0,0,0,28,0,6,0,0,0,0,1.2962887544809338,0,-0.0,0
0601965e-336a-474e-85c0-398a3c4d7782_gdc_realn_rehead,1,1,0,4,0,0,0,4,3,0,101,0,0,0,-0.0,-0.0,0,0.9150605405090715,0,0,0
