sample,name,mtDNA_ID,dosage
005301a4-1151-4421-9c73-961a7b628b63_gdc_realn_rehead,mtDNA,MT,5904.03
01d7c202-af14-4720-92ad-6c9ab5273e5b_gdc_realn_rehead,mtDNA,MT,5614.32
02b776d9-d5eb-4b34-9854-82d4cfae4751_gdc_realn_rehead,mtDNA,MT,6429.91
0330e749-318e-4de9-9c99-1443594b6360_gdc_realn_rehead,mtDNA,MT,5234.54
033f395d-f27b-4199-a16f-6bd6b18449a4_gdc_realn_rehead,mtDNA,MT,6058.36
03e07184-68da-4e59-abb6-c5b6526c990c_gdc_realn_rehead,mtDNA,MT,5898.77
053bca4b-74e4-4fba-bd0d-7b2c2d678a66_gdc_realn_rehead,mtDNA,MT,6095.25
05856688-714a-446b-8652-d38e94d7ae93_gdc_realn_rehead,mtDNA,MT,6290.96
058ef2a4-a1f9-40ea-ad44-b4e00dc5b014_gdc_realn_rehead,mtDNA,MT,6005.3
0601965e-336a-474e-85c0-398a3c4d7782_gdc_realn_rehead,mtDNA,MT,5025.52
06904d76-38ca-4c2a-8699-a57aacce0ec2_gdc_realn_rehead,mtDNA,MT,6743.62
0699db2f-847c-4944-8b5e-2f2a196d5707_gdc_realn_rehead,mtDNA,MT,4958.92
077dd646-bab9-4a29-8994-105e1a9f6def_gdc_realn_rehead,mtDNA,MT,5021.1
07c72ab1-765a-4cad-a8f5-b219b1df8089_gdc_realn_rehead,mtDNA,MT,5034.58
07f95427-39be-4884-b539-c9f3e329bebc_gdc_realn_rehead,mtDNA,MT,3435.3
0813f7de-f80a-488b-a275-e4636629aca3_gdc_realn_rehead,mtDNA,MT,5848.37
086e890b-cdc3-455e-84a8-66dbfa3aae11_gdc_realn_rehead,mtDNA,MT,6147.78
088964d1-025c-4080-9cc9-11a233abcd7f_gdc_realn_rehead,mtDNA,MT,5831.65
091d8ab7-7cad-4921-b2c2-4304ed611fc9_gdc_realn_rehead,mtDNA,MT,4920.78
09646946-fcec-44b7-8b26-a7ce89012ab1_gdc_realn_rehead,mtDNA,MT,1692.9
0a18b687-11be-427b-82a9-b11d80b0ea3d_gdc_realn_rehead,mtDNA,MT,6643.02
0a8e1c17-5ac8-4509-9741-ec1c59c5cebc_gdc_realn_rehead,mtDNA,MT,4718.63
0d3c1f7c-8aab-4cdb-a652-d873b630de45_gdc_realn_rehead,mtDNA,MT,5736.76
0d6e7057-6aa8-46ff-9e9b-e0ba237eb19b_gdc_realn_rehead,mtDNA,MT,6302.79
0da55f74-bd6d-4b13-88db-20863165b06b_gdc_realn_rehead,mtDNA,MT,4706.44
0daa1a31-b86c-4353-b403-59db8ebcb851_gdc_realn_rehead,mtDNA,MT,5659.99
0ddd82c2-8cdb-4ec0-9c5f-3321f312e962_gdc_realn_rehead,mtDNA,MT,6265.33
0e8babe1-4c15-4d9c-a26b-2ad839cef580_gdc_realn_rehead,mtDNA,MT,6325.63
0ea510ed-4e24-4c5b-ab49-cfef85aedeab_gdc_realn_rehead,mtDNA,MT,6398.54
0f077bd4-3907-4a81-a3df-0c1f5f32ff47_gdc_realn_rehead,mtDNA,MT,5485.91
100406a4-d12c-4ae5-b9ed-b6968f02dbe6_gdc_realn_rehead,mtDNA,MT,6295.49
108339cb-e827-4340-b52d-9b3cbb4e5165_gdc_realn_rehead,mtDNA,MT,5604.95
10e0e7f3-3fc1-43f7-b7fc-7bb6a375d060_gdc_realn_rehead,mtDNA,MT,5524.88
10e22941-6475-4f0b-8288-4e23e58864a6_gdc_realn_rehead,mtDNA,MT,6571.7
1108c8ca-9630-44b9-ab41-f56286b4766f_gdc_realn_rehead,mtDNA,MT,5609.61
1132c05d-00f1-4c3b-a0ed-06a735c82401_gdc_realn_rehead,mtDNA,MT,4774.89
1198fd4b-6d38-4cb3-93b1-9a3b424fc339_gdc_realn_rehead,mtDNA,MT,6318.08
11be0d17-30b2-45ce-8e14-432e0c9a628f_gdc_realn_rehead,mtDNA,MT,5814.61
1228fb38-e5a9-4521-ad83-a67977908527_gdc_realn_rehead,mtDNA,MT,5703.28
12b39ffe-9ea7-421a-af7c-2558fa992d78_gdc_realn_rehead,mtDNA,MT,5652.49
13ed08ee-d7e8-43bd-9ee1-7850140e8210_gdc_realn_rehead,mtDNA,MT,6637.88
14e63f70-0dba-435f-a747-17239a97100f_gdc_realn_rehead,mtDNA,MT,6692.15
14fe760a-b84e-4d6e-ab4f-56fbd5cf93ac_gdc_realn_rehead,mtDNA,MT,5570.1
15f9814d-1a98-4579-9e59-9c4de59ffe01_gdc_realn_rehead,mtDNA,MT,5147.22
1642360c-3217-42ce-b1c3-8a18c77a26be_gdc_realn_rehead,mtDNA,MT,4868.18
169ff044-7e80-475a-8834-bfdb10180992_gdc_realn_rehead,mtDNA,MT,6154.21
170eae5f-f32e-45e5-beda-848a84ad2fb4_gdc_realn_rehead,mtDNA,MT,5721.06
17579b7c-6ebd-4da8-9df5-004a69a7ef3d_gdc_realn_rehead,mtDNA,MT,5367.48
1774634c-c5f9-46b4-bd3d-01c9e520e341_gdc_realn_rehead,mtDNA,MT,5576.62
17d3f67c-7d54-4866-88d5-96272a8b8bee_gdc_realn_rehead,mtDNA,MT,5480.03
1845d6cd-3528-4c1f-819d-c1c39e354dea_gdc_realn_rehead,mtDNA,MT,5914.86
18b2e6a9-0213-410f-ab5d-10e839b4d4ee_gdc_realn_rehead,mtDNA,MT,5561.07
18b7d94a-8660-46b8-8681-323fdfee2826_gdc_realn_rehead,mtDNA,MT,6187.11
19253042-25b5-469d-aa1b-4822f6dd92db_gdc_realn_rehead,mtDNA,MT,5992.81
19b05e39-15f0-4a05-9df4-b0ae1864494a_gdc_realn_rehead,mtDNA,MT,6722.43
1b5ccbbc-977d-4022-9420-30a51dd716bd_gdc_realn_rehead,mtDNA,MT,5699.69
1b9642cd-d963-4251-a929-b499516a3f82_gdc_realn_rehead,mtDNA,MT,5869.63
1bdf64ba-0881-4ab3-a2e6-e8c38d925e45_gdc_realn_rehead,mtDNA,MT,6498.1
1bfdc454-759f-43b2-9c8e-7298efe412fc_gdc_realn_rehead,mtDNA,MT,6366.57
1c0e230e-5838-4cb1-9f48-a5b5173dfd3e_gdc_realn_rehead,mtDNA,MT,5551.23
1efde3b7-5fd9-4fee-bc1f-9cd9f5a3221d_gdc_realn_rehead,mtDNA,MT,6342.12
1f3d2751-c60c-4c2f-bb9f-cc35c05903ab_gdc_realn_rehead,mtDNA,MT,6558.68
201beb6e-8c73-432e-aafd-893e44ad6163_gdc_realn_rehead,mtDNA,MT,6201.65
201d192c-9f30-445a-a0ac-f9534aab9902_gdc_realn_rehead,mtDNA,MT,4810.59
20201e84-9484-4a28-9af6-d229f45c6703_gdc_realn_rehead,mtDNA,MT,4241.09
208ee929-9039-43fb-8177-11631c297103_gdc_realn_rehead,mtDNA,MT,5293.08
21300d10-0c92-49e8-a2c9-f444f3010303_gdc_realn_rehead,mtDNA,MT,5915.45
218497eb-3c64-4e96-bd70-c2cf3d6d9877_gdc_realn_rehead,mtDNA,MT,4989.43
21d1dc59-02bf-46bc-ac59-5ba6a6883595_gdc_realn_rehead,mtDNA,MT,6552.04
21f22a44-fb3b-422f-8d6f-934e53ec5aec_gdc_realn_rehead,mtDNA,MT,4442.31
21fb3492-7e9e-466f-9d98-d5394af5d2d2_gdc_realn_rehead,mtDNA,MT,5336
230fd3e9-44a2-4391-825d-143cba8bcf9a_gdc_realn_rehead,mtDNA,MT,6210.8
23221ebb-100c-4e28-bf4e-0f164a8ed50a_gdc_realn_rehead,mtDNA,MT,5115.09
233446a9-2cbf-4395-9fb4-0660276d9885_gdc_realn_rehead,mtDNA,MT,1593.07
233d824a-5818-41ec-adc9-8464ddc024c1_gdc_realn_rehead,mtDNA,MT,5945.97
2371f879-e2a1-4487-ba2d-a14d40981ace_gdc_realn_rehead,mtDNA,MT,2460.77
23e069a4-9d44-442e-8d49-eb088fb9a187_gdc_realn_rehead,mtDNA,MT,4897.8
24266bd0-b5ba-4168-b9f2-484c74d0b795_gdc_realn_rehead,mtDNA,MT,5713.59
250289ec-46a2-4ce2-84bc-0b6168a1f8b0_gdc_realn_rehead,mtDNA,MT,5096.95
25deadd5-883a-4e88-8016-e337c1cec641_gdc_realn_rehead,mtDNA,MT,4830.55
25fc67f7-eb4f-4a80-b5a8-a89c6e5a9292_gdc_realn_rehead,mtDNA,MT,5016.45
267d0d2e-32c6-475b-b4a6-c3c9ecc57a4d_gdc_realn_rehead,mtDNA,MT,6212.73
269f6d2a-87dc-4fd8-af61-2ab4e6e06728_gdc_realn_rehead,mtDNA,MT,5999.19
284cdeba-e8fb-4e5d-960a-dc45815fd3bd_gdc_realn_rehead,mtDNA,MT,4475.99
28d806cd-95c7-4dfb-a980-1a482bbdf285_gdc_realn_rehead,mtDNA,MT,5190.76
291c515a-0c08-4f00-ad1a-13b6ec6fb982_gdc_realn_rehead,mtDNA,MT,5800.06
2950c941-f93f-4948-97f2-74cf6d5161de_gdc_realn_rehead,mtDNA,MT,4417.6
298d5de5-f66d-47db-8150-908ca70f6f86_gdc_realn_rehead,mtDNA,MT,4684.36
298f6a56-5a1d-4b35-bb8a-e670ea6a0ee9_gdc_realn_rehead,mtDNA,MT,6592.95
29b33845-77da-4a4b-a6e7-7b4aa6a26393_gdc_realn_rehead,mtDNA,MT,5640.14
29d635f0-3db9-4d3a-bae3-7e16de3b6bea_gdc_realn_rehead,mtDNA,MT,6679.57
2a694afb-c9d8-47da-91b1-563685fbdd70_gdc_realn_rehead,mtDNA,MT,5320.99
2a8cf710-6197-4a1c-b7b3-97bbb975c715_gdc_realn_rehead,mtDNA,MT,5782.23
2adbf2eb-6c1c-4624-91ce-86765f2219c5_gdc_realn_rehead,mtDNA,MT,3894.66
2babb909-4d6a-4873-9010-0481cd9d7f67_gdc_realn_rehead,mtDNA,MT,4674.19
2c5bf985-e02f-4319-9060-03903d77629c_gdc_realn_rehead,mtDNA,MT,5569.3
2c652ec1-ee07-4d63-bfb0-cbf9e4013717_gdc_realn_rehead,mtDNA,MT,6101.49
2c95ea97-62f0-4cdf-b5c2-e52f1dba1df7_gdc_realn_rehead,mtDNA,MT,5194.32
2ca0803b-71dc-4910-9307-dd5aeb5c8015_gdc_realn_rehead,mtDNA,MT,6399.66
2cfd1613-48d7-467e-99f6-cb93b233c019_gdc_realn_rehead,mtDNA,MT,5730.23
2d5e614b-ab16-4ff9-bb9a-0c1004890a77_gdc_realn_rehead,mtDNA,MT,5607.32
2d75f728-595b-4489-af45-081055c80a90_gdc_realn_rehead,mtDNA,MT,5524.06
2e9d32f5-a015-4eb9-8284-3bbec9f97272_gdc_realn_rehead,mtDNA,MT,5389.5
2efe4617-99bc-4b18-9159-7739131c8aa9_gdc_realn_rehead,mtDNA,MT,6350.5
2f3322db-f3cb-4a08-b81b-bba1703f55c1_gdc_realn_rehead,mtDNA,MT,5809.42
2f973de3-769b-4ab3-8633-c1eb2f53a67f_gdc_realn_rehead,mtDNA,MT,5290.86
2f9b92f8-8c19-41e3-896c-42f383616055_gdc_realn_rehead,mtDNA,MT,5910.98
3001ec84-0cf6-478d-944d-31477f29682c_gdc_realn_rehead,mtDNA,MT,6233.36
