sample,name,mtDNA_ID,dosage
303660c7-e51c-425d-9432-f59b6b427b41_gdc_realn_rehead,mtDNA,MT,6625.95
3053eba0-ea7d-4458-8d90-8529d9d9cd5b_gdc_realn_rehead,mtDNA,MT,6266.04
3072d901-49d8-4081-822b-0c028e9e28fa_gdc_realn_rehead,mtDNA,MT,4741.55
30adccfc-bb00-4b20-9579-2fd4db4cbd32_gdc_realn_rehead,mtDNA,MT,6433.31
3103782a-2847-4a2a-b31f-4e5ea2ed76b0_gdc_realn_rehead,mtDNA,MT,6198.25
319e9480-8717-4ccc-b906-2e42be7db976_gdc_realn_rehead,mtDNA,MT,6148.42
31e494ef-4885-4296-99df-d1583cff7a5c_gdc_realn_rehead,mtDNA,MT,5099.02
31e8213b-267f-48f4-b632-583c52927248_gdc_realn_rehead,mtDNA,MT,5898.45
31f13ffe-59d7-4b49-89e2-020daf75b1ee_gdc_realn_rehead,mtDNA,MT,4253.82
3208ed34-81cc-4419-8bfe-310568b43c80_gdc_realn_rehead,mtDNA,MT,2873.14
32b09cce-1d6a-44f1-8699-7cdf8d6e0fb3_gdc_realn_rehead,mtDNA,MT,5348.44
33cfa2ad-37ac-485c-b721-2da6885ce3f6_gdc_realn_rehead,mtDNA,MT,5909.81
344403b9-e960-4d21-8094-c64c6c21feac_gdc_realn_rehead,mtDNA,MT,2451.53
345bf6c7-2b7c-4ff6-9edf-5eb579ffbe5d_gdc_realn_rehead,mtDNA,MT,5272.79
346dd6ea-76b5-4e01-926d-07832d3a76c4_gdc_realn_rehead,mtDNA,MT,6396.25
35efed04-67eb-4cad-aa21-e1c0ce81db9d_gdc_realn_rehead,mtDNA,MT,6801.06
368ddefd-8538-426b-9015-a3c7f3bb7850_gdc_realn_rehead,mtDNA,MT,3664.91
377df6dd-af23-4337-8713-a5c4955b7d6f_gdc_realn_rehead,mtDNA,MT,5190.02
3798177b-bd80-48b4-a937-c4d4464d482a_gdc_realn_rehead,mtDNA,MT,4851.63
38aa3c95-013f-4010-a5fd-54ff5e4aa728_gdc_realn_rehead,mtDNA,MT,5790.99
38d095ea-9002-42a5-a556-1c751b0405e9_gdc_realn_rehead,mtDNA,MT,5986.88
38dc8f73-a4ec-4f38-a612-11cf1faa1d8d_gdc_realn_rehead,mtDNA,MT,2910.64
39360e12-b82e-423e-97fa-392cbd6cb971_gdc_realn_rehead,mtDNA,MT,5908.15
39b27f76-9e10-4284-b5dc-7b5a554dfe26_gdc_realn_rehead,mtDNA,MT,5770.59
3a5d8a5d-4fd2-41b0-ac21-dfa50eab1dcc_gdc_realn_rehead,mtDNA,MT,5739.1
3b50841d-fd1b-4f40-85db-db97403b3411_gdc_realn_rehead,mtDNA,MT,5134.84
3d2b7c58-6ae8-4199-8782-b4c37b52e757_gdc_realn_rehead,mtDNA,MT,4897.54
3d44d6c3-5dcf-42ee-8ebe-dcdaad30493c_gdc_realn_rehead,mtDNA,MT,1660.37
3e37a585-683d-4c2d-818f-67cb53da7a37_gdc_realn_rehead,mtDNA,MT,6169.59
3e393ba2-b0bb-47aa-80e3-eb78214a3e54_gdc_realn_rehead,mtDNA,MT,5410.66
3ebcd3bb-9188-4c03-a6db-f4b8d191f0f2_gdc_realn_rehead,mtDNA,MT,5740.33
3efc7114-c5a2-4bb6-b6bf-02fafc3573f6_gdc_realn_rehead,mtDNA,MT,5056.27
3f27519d-4cb0-4427-b90e-4b3ed890649c_gdc_realn_rehead,mtDNA,MT,4607.49
3f53a71c-e0a7-442f-92da-4e74f5c84581_gdc_realn_rehead,mtDNA,MT,4561.74
3f574e31-db95-4199-826c-c2f5b1e4332b_gdc_realn_rehead,mtDNA,MT,5703.98
3f612e90-0fe9-4c7c-a686-247472cfe4e2_gdc_realn_rehead,mtDNA,MT,6323.28
3f88026f-3beb-4805-85aa-65b5e5909b64_gdc_realn_rehead,mtDNA,MT,5009.56
3fba503a-4c2f-4909-a094-a9c4882afee5_gdc_realn_rehead,mtDNA,MT,5736.67
4023042c-409b-433f-9c43-c719736a55ba_gdc_realn_rehead,mtDNA,MT,6213
41481131-9b42-47bb-9f05-879007ad423c_gdc_realn_rehead,mtDNA,MT,5673.16
418985cf-3f58-4673-9303-961204e7c470_gdc_realn_rehead,mtDNA,MT,5982.53
4253cc98-350d-4c54-a98c-113d15cf6381_gdc_realn_rehead,mtDNA,MT,5791.07
426159a8-d17a-4770-91ac-578ecdf46b8d_gdc_realn_rehead,mtDNA,MT,5856.58
42722360-9f14-453c-851e-aadc068affcc_gdc_realn_rehead,mtDNA,MT,6497.44
42da1d41-a034-4c87-af13-615a6d94d0bb_gdc_realn_rehead,mtDNA,MT,1204.41
42de85be-ae4e-47c9-97d9-1b92f1f4569a_gdc_realn_rehead,mtDNA,MT,5429.06
4340a3f4-4b56-432a-949a-655b5f74c2f7_gdc_realn_rehead,mtDNA,MT,5046.33
43e6a77d-38e0-46b9-9040-e016ebcb6896_gdc_realn_rehead,mtDNA,MT,3642.6
442b5275-5bf5-439b-9b82-2a2f49ede40e_gdc_realn_rehead,mtDNA,MT,5825.24
4487bf18-eeee-41bd-a6e8-ae859042feda_gdc_realn_rehead,mtDNA,MT,5916.46
44923b77-7082-4567-9712-1f05207b94d6_gdc_realn_rehead,mtDNA,MT,6408.85
44ab1da4-a195-4f76-a012-393e3fdb5611_gdc_realn_rehead,mtDNA,MT,5663.2
455a3e8d-2074-41af-b082-0fbede72aeea_gdc_realn_rehead,mtDNA,MT,5936.86
4585dd6a-7829-4919-8b36-25d94983144c_gdc_realn_rehead,mtDNA,MT,2132.4
45d24c12-1c69-4b02-8ba2-290a11857a02_gdc_realn_rehead,mtDNA,MT,5493.13
45e0344b-87be-4fe9-b4fc-241bde6bbf4f_gdc_realn_rehead,mtDNA,MT,6263.68
45e61125-c532-4188-85bc-847258e516ed_gdc_realn_rehead,mtDNA,MT,5966.46
4710fc26-1185-4436-b315-db0380bd9080_gdc_realn_rehead,mtDNA,MT,2771.47
4741c9f3-fed1-46ca-836b-264bdb905e89_gdc_realn_rehead,mtDNA,MT,3904.07
47cea585-0a27-424c-a716-69df89183ca4_gdc_realn_rehead,mtDNA,MT,2773.47
47f72c27-1e68-46f1-8df8-8dcf698f058e_gdc_realn_rehead,mtDNA,MT,5817.21
495752ac-1048-48c3-9791-623dbd116a1a_gdc_realn_rehead,mtDNA,MT,4202.6
49ba6931-e906-45e7-9701-9f2b0b6e4df4_gdc_realn_rehead,mtDNA,MT,1489.47
4a1266ef-4c35-48ce-ad81-2bb25f773ac9_gdc_realn_rehead,mtDNA,MT,2238.45
4a32cc85-9d19-454f-8bcd-ca1328ed5be3_gdc_realn_rehead,mtDNA,MT,5784.02
4aa332e6-b4ab-4f56-be49-e8170c64447c_gdc_realn_rehead,mtDNA,MT,4629.67
4ad8a50e-5048-4c11-b2b3-4c67c0a4dbe7_gdc_realn_rehead,mtDNA,MT,5130.74
4b71505f-f386-434f-9d99-a0741ae09ae2_gdc_realn_rehead,mtDNA,MT,5985.12
4c09855d-67c2-46ea-83dc-af80ec3dfeee_gdc_realn_rehead,mtDNA,MT,5785
4c38482a-1651-4e55-816e-acb01999a202_gdc_realn_rehead,mtDNA,MT,4992.52
4c60278c-54a5-4b8c-9ae6-c8cdd5c9ddc0_gdc_realn_rehead,mtDNA,MT,5107.45
4d8bf6c2-5bfa-4ac3-945b-52522a7a0cf9_gdc_realn_rehead,mtDNA,MT,2337.94
4f4a304b-0e65-467e-b07e-155c528ceb15_gdc_realn_rehead,mtDNA,MT,6270.77
4f65e591-fba3-41aa-898f-f9a4fbd7a456_gdc_realn_rehead,mtDNA,MT,6338.82
50b6aa8d-3938-4299-9da3-d518d4d3fc19_gdc_realn_rehead,mtDNA,MT,4407.55
5184a284-2486-4c21-acdd-b52e3b3d014f_gdc_realn_rehead,mtDNA,MT,5303.03
51ccb3d6-e0d2-4729-991e-46809c28a463_gdc_realn_rehead,mtDNA,MT,5136.68
53043feb-0213-4b53-8204-4e6905768234_gdc_realn_rehead,mtDNA,MT,6062.9
53d5d566-f294-448b-ac48-6ffa2ba333b0_gdc_realn_rehead,mtDNA,MT,5451.86
54062cc8-47ba-45da-8b3f-ad5cd845d3e5_gdc_realn_rehead,mtDNA,MT,5188.37
54c0e424-f5cf-4fc9-8891-ab8ee8c10a8d_gdc_realn_rehead,mtDNA,MT,5154.73
553fc948-c34d-4a39-ba90-007f43c989f7_gdc_realn_rehead,mtDNA,MT,5684.42
55427b1d-4160-45fd-a5d4-a72d724e87b4_gdc_realn_rehead,mtDNA,MT,6813.11
556e63fa-344b-4b8f-aeca-cd0bc66370d2_gdc_realn_rehead,mtDNA,MT,3818.94
55878010-15f1-473e-9361-cf31e1780675_gdc_realn_rehead,mtDNA,MT,6438.1
56466297-cbb3-4015-b7e5-5dc386bafaee_gdc_realn_rehead,mtDNA,MT,5927.22
56885fdf-ae09-4478-be99-81bd282715eb_gdc_realn_rehead,mtDNA,MT,5929.19
56b0a104-b20b-4d56-b70d-2e8b925ad37b_gdc_realn_rehead,mtDNA,MT,5141.76
570f3779-f38b-46f0-a3bb-c8b4e7a97291_gdc_realn_rehead,mtDNA,MT,5419.8
5735edb0-5df0-4425-b5db-614e94f1e2db_gdc_realn_rehead,mtDNA,MT,4247.45
57dc603f-e1c0-4fc0-9ed9-76dd5b6f9bd4_gdc_realn_rehead,mtDNA,MT,6146.42
58fb3498-5d7a-458a-a778-d5e0d607f150_gdc_realn_rehead,mtDNA,MT,2123.02
59ccaf6f-f899-4df4-9b52-fc7695e38e2b_gdc_realn_rehead,mtDNA,MT,5718
5a18610b-7150-42ec-86c0-6c2fa4c1e96e_gdc_realn_rehead,mtDNA,MT,3746.54
5a58a203-4295-49a4-9534-5e5d64ba8072_gdc_realn_rehead,mtDNA,MT,5852.09
5a66bb8d-7df6-4655-806d-1451370d27a9_gdc_realn_rehead,mtDNA,MT,5816.45
5ace35cc-50a9-49ec-84fe-dc6476b51b70_gdc_realn_rehead,mtDNA,MT,5113.13
5ae7f9d8-5f6e-49d7-b534-749406ef219a_gdc_realn_rehead,mtDNA,MT,6145.04
5b8d2548-b32e-4abb-9244-a618b1b2852e_gdc_realn_rehead,mtDNA,MT,6542.36
5d1029d3-bcb8-4e73-9f03-08e612ddb0a1_gdc_realn_rehead,mtDNA,MT,5574.31
5d302c0e-bbc1-4b3e-afa2-40e2b4c3ded4_gdc_realn_rehead,mtDNA,MT,4721.06
5e080558-87c4-435a-adae-4979ac558b71_gdc_realn_rehead,mtDNA,MT,4891.21
5e0d7cfd-bdd0-421a-8356-c3dba1558539_gdc_realn_rehead,mtDNA,MT,5769.57
5e10a745-ce02-4f51-a10d-1d2ff6aa7705_gdc_realn_rehead,mtDNA,MT,5802.36
5f0be065-3b20-46c4-955a-d5999c10de09_gdc_realn_rehead,mtDNA,MT,6353.15
60efae24-e2d8-416c-ac92-c972c07b9c35_gdc_realn_rehead,mtDNA,MT,6261.52
61274c16-dddd-4df9-815a-52bc8fdc2462_gdc_realn_rehead,mtDNA,MT,2539.3
61ade99b-6f87-48d1-b094-51237e96a93f_gdc_realn_rehead,mtDNA,MT,4922.8
61e4c92d-c8f5-45f9-a623-5477af66e193_gdc_realn_rehead,mtDNA,MT,5427.03
621a2fb0-0372-4566-b89d-73c31fb9fa15_gdc_realn_rehead,mtDNA,MT,6169.75
622b8be1-0f2b-42cb-b37b-1f6e1c42cc43_gdc_realn_rehead,mtDNA,MT,5175.01
629ff0b5-b038-4dca-892b-52d014026bea_gdc_realn_rehead,mtDNA,MT,5591.63
62f1340d-9f29-47dc-8de8-9489b294723f_gdc_realn_rehead,mtDNA,MT,6005.03
63803549-e417-4bef-b5df-4a4d45525475_gdc_realn_rehead,mtDNA,MT,6037.06
6390b64d-f005-4a35-bceb-21ddbe91ca7b_gdc_realn_rehead,mtDNA,MT,5805.75
63a21fb0-97c3-4bad-b9b2-28236484e675_gdc_realn_rehead,mtDNA,MT,5982.68
64a3e6a5-00fb-4597-ae40-490f9582e08e_gdc_realn_rehead,mtDNA,MT,5925.35
64d942e2-03e9-473e-986f-2b0e0e7efb74_gdc_realn_rehead,mtDNA,MT,5873.66
64e21887-298b-4768-8946-cf8fbfae611c_gdc_realn_rehead,mtDNA,MT,4542.72
650f377d-7d3b-4f04-ad9c-000acca77177_gdc_realn_rehead,mtDNA,MT,6541.54
65839088-5527-4008-9232-142ee8e0e627_gdc_realn_rehead,mtDNA,MT,2844.04
65a9eeca-f426-48d7-bbb6-5b8e50c48866_gdc_realn_rehead,mtDNA,MT,6350.23
67295c38-9cc0-4492-b782-05f762173b63_gdc_realn_rehead,mtDNA,MT,6583.65
67d4b7aa-1d22-4f4b-af8a-40c1cb55585c_gdc_realn_rehead,mtDNA,MT,5340.52
67dd9f18-b0ba-48ef-a01c-cefe2cee9263_gdc_realn_rehead,mtDNA,MT,5688.46
67e0bb40-5006-4c03-839a-8bf3f9383b71_gdc_realn_rehead,mtDNA,MT,5821.65
67e31df5-7c79-4f2c-ad71-1a4bc376c728_gdc_realn_rehead,mtDNA,MT,5399.35
683f4b38-7db7-48c9-a092-95ed77020dec_gdc_realn_rehead,mtDNA,MT,4803.45
692d70a3-ee5a-4fb5-a99f-17cd77bb5274_gdc_realn_rehead,mtDNA,MT,5328.51
693e7634-9033-4f5e-bd11-bd811bc14643_gdc_realn_rehead,mtDNA,MT,5191.47
6a0cd3af-dcb9-484c-b1b3-9775f0d420d6_gdc_realn_rehead,mtDNA,MT,6355.37
6a30bada-db34-45d8-af22-2a185cfc120b_gdc_realn_rehead,mtDNA,MT,1458.76
6b2a28d5-bd0a-4d50-93e2-eb30e1df63de_gdc_realn_rehead,mtDNA,MT,2692.99
6b7dbced-5cd2-47b2-96c8-595f96022294_gdc_realn_rehead,mtDNA,MT,5224.89
6b81ca60-c91e-447d-8658-d3797422e4c7_gdc_realn_rehead,mtDNA,MT,5875.32
6c329a5f-3866-4cc1-9d5e-a43413d188b5_gdc_realn_rehead,mtDNA,MT,5952.34
6cb90565-9ca5-48ee-a258-40ea601c7380_gdc_realn_rehead,mtDNA,MT,1637.97
6cf978de-3700-4532-812a-ea18e9db99d0_gdc_realn_rehead,mtDNA,MT,6061.15
6d839a7d-c199-46ba-a724-567e412491f9_gdc_realn_rehead,mtDNA,MT,5933.78
6dc766aa-8f14-45fb-9fda-91c3cad1b887_gdc_realn_rehead,mtDNA,MT,4801.69
6dcb57d4-3e2c-4331-82ac-118c090939c8_gdc_realn_rehead,mtDNA,MT,6464.27
6dd4b73b-402d-40c7-bdf9-88d9e0b884fd_gdc_realn_rehead,mtDNA,MT,5988.2
6e3dbbf4-ea7c-438f-a944-55adb7c291d5_gdc_realn_rehead,mtDNA,MT,6194.58
6e4ac635-355c-400e-ac34-b1dd2731083c_gdc_realn_rehead,mtDNA,MT,6050.89
6e627740-aff8-401c-a422-72124ddcc3bb_gdc_realn_rehead,mtDNA,MT,5432.68
6e6c5ce6-22d8-415b-bf7e-ebd17aafa134_gdc_realn_rehead,mtDNA,MT,6412.26
6e775578-86ad-4eed-a8fc-04e6932fb458_gdc_realn_rehead,mtDNA,MT,5931.25
6e7c601a-fcc9-4900-9fab-9fee704870c0_gdc_realn_rehead,mtDNA,MT,4397.37
6ee0d570-56f7-4f3b-b4ef-3b61bcbbd80a_gdc_realn_rehead,mtDNA,MT,6365.82
6fc2c0be-53ca-418f-af9b-0a3a20640519_gdc_realn_rehead,mtDNA,MT,4748.82
6fe45113-a972-4513-a09d-7ee22735cc2f_gdc_realn_rehead,mtDNA,MT,6008.93
700b909a-e581-4838-b3c1-b94a6af9094d_gdc_realn_rehead,mtDNA,MT,2012.84
7089a19e-1191-43cb-8eb5-e727e3c11568_gdc_realn_rehead,mtDNA,MT,6827.25
71422d62-6272-4057-a44c-dd1933eaa8b8_gdc_realn_rehead,mtDNA,MT,4822.29
71ec6db2-83f0-46c0-bad4-eb6185f424dc_gdc_realn_rehead,mtDNA,MT,3739.01
71f1c38b-f8a7-444c-bd95-4ba50b20b658_gdc_realn_rehead,mtDNA,MT,5812.94
7237da0d-6f03-4ad6-ade0-53cdfa9d9d36_gdc_realn_rehead,mtDNA,MT,5022.22
72554f0b-f5dc-4b2d-9bd4-e8905ea76a97_gdc_realn_rehead,mtDNA,MT,2872.95
726e24ff-5bc5-4ca4-ba0e-921acd58de55_gdc_realn_rehead,mtDNA,MT,4474.88
733f7529-2a95-4998-9ef6-ee51ee94219b_gdc_realn_rehead,mtDNA,MT,5848.6
7340ec23-6cc9-40cc-928a-5e7ef7aee6d2_gdc_realn_rehead,mtDNA,MT,4760.47
