sample,method,cpu_time,max_mem
1,SBT,1258.6,2633
2,SBT,1952.57,3086
3,SBT,1126.52,2409
4,SBT,1275.49,2588
5,SBT,1304.95,2661
6,SBT,1371.75,2649
7,SBT,1434.9,2710
8,SBT,1420.19,2650
9,SBT,1642.09,2812
10,SBT,1333.65,2608
11,SBT,1223.69,2616
12,SBT,1594.84,2684
13,SBT,1314.6,2635
14,SBT,1200.22,2593
15,SBT,1283.21,2656
16,SBT,1311.59,2642
17,SBT,1348.82,2656
18,SBT,1371.85,2623
19,SBT,1254.12,2603
20,SBT,1142.57,2582
1,BWA,3428.64,5436
2,BWA,2915.91,5430
3,BWA,2689.84,5377
4,BWA,4042.31,5455
5,BWA,3478.26,5420
6,BWA,3438.63,5392
7,BWA,3777.83,5390
8,BWA,3481.08,5399
9,BWA,3339.46,5438
10,BWA,4516.45,5419
11,BWA,2869.83,5401
12,BWA,3647.55,5379
13,BWA,5174.55,5440
14,BWA,3681.4,5395
15,BWA,2922.92,5365
16,BWA,3427.09,5413
17,BWA,3790.82,5377
18,BWA,2762.01,5392
19,BWA,3588.49,5409
20,BWA,4044.56,5417
