sample,nIGH,nIGK,nIGL,nTCRA,nTCRB,nTCRD,nTCRG, loadIGH,loadIGK,loadIGL,loadTCRA,loadTCRB,loadTCRD,loadTCRG,alphaIGH,alphaIGK,alphaIGL,alphaTCRA,alphaTCRB,alphaTCRD,alphaTCRG
af2719bb-3eb8-4d96-add9-3f44ca91e6ae_gdc_realn_rehead,6,100,18,44,0,0,0,16,329,55,1907,0,0,0,1.7170759801988817,4.402954049708663,2.723769897643267,0.5161215584851577,0,0,0
af288cac-29cd-4451-8d3f-6a32fc3e6ab5_gdc_realn_rehead,47,486,159,112,2,1,0,220,5837,1178,675,4,2,0,3.346941832247441,4.437741785018599,4.4550373548169375,4.144297638292244,0.6931471805599453,-0.0,0
af360a37-2759-449e-b087-853022490864_gdc_realn_rehead,145,1477,621,382,8,9,1,1480,23228,7996,6048,25,44,4,3.864971770338135,5.604431352919985,5.063511745882079,3.5279001792340408,1.9814919227071188,1.8507964724013348,-0.0
af6c4fb2-34da-4cbb-b72f-69f4de426ced_gdc_realn_rehead,13,188,73,57,3,2,0,50,977,367,1015,6,9,0,2.3815037360768176,4.426929567355106,3.7801434734035126,1.8313581322457997,1.0986122886681096,0.5297061990576545,0
af946380-8cb3-4066-a814-93dbe06182aa_gdc_realn_rehead,26,407,142,90,1,5,0,119,2180,562,431,2,28,0,2.674308930131303,5.347942604379437,4.676325354551584,4.02815137661275,-0.0,1.1761080996578523,0
b04cbefe-48d2-40ca-9230-18566adbe9ee_gdc_realn_rehead,32,435,137,74,3,0,0,201,5159,1104,689,6,0,0,3.157719594117594,5.109577294128794,4.234945245038082,3.1851399328848182,1.0986122886681096,0,0
b068f692-cfa5-4af2-afca-25effe6d78bf_gdc_realn_rehead,51,482,209,129,5,5,0,375,7123,2395,5179,34,460,0,2.847445014529163,4.825032928737636,4.231568265425049,0.8292251109254173,1.2033320406994703,0.16555551661106427,0
b06d1e8a-4083-4619-8f19-14bb5250b8bf_gdc_realn_rehead,38,312,151,113,2,4,0,188,4078,1480,1699,4,66,0,3.3539053303287942,4.78615720783386,4.179052091633948,3.653811285042602,0.6931471805599453,0.709767711845176,0
b172cf09-d25d-4865-8acb-866770e3f0d9_gdc_realn_rehead,84,1168,368,376,4,7,0,474,9936,2657,2686,17,26,0,3.980230115306805,6.147307524062923,5.171878093124654,4.986894905643067,1.2930224700643995,1.820718643690748,0
b2b94908-945e-4a92-add4-e658d5a675f9_gdc_realn_rehead,0,0,0,181,0,0,0,0,0,0,2232,0,0,0,0,0,0,3.7829612770632925,0,0,0
b2eab631-2e3e-4b65-87fc-a2592b464e45_gdc_realn_rehead,11,278,93,62,0,1,0,40,1225,396,247,0,4,0,2.2050999567386746,5.19403775200922,4.26050023255693,3.8077063604912302,0,-0.0,0
b377ece0-2aa1-47e9-bfe2-bdf45772e5d3_gdc_realn_rehead,30,551,131,167,2,2,2,119,3310,639,978,4,4,5,3.1382303256379678,5.764599479855228,4.359700208163418,4.197962577204414,0.6931471805599453,0.6931471805599453,0.6730116670092565
b4338016-9ea2-4923-9cf4-64fccafa3fc3_gdc_realn_rehead,41,874,303,194,3,6,0,274,6352,1763,903,15,35,0,3.290121444924209,6.099366845261769,5.073233689830139,4.786933644179553,0.9701157839869381,1.6117838548987478,0
b437694e-67b5-4bb6-a285-1bc78e52dfa0_gdc_realn_rehead,12,235,97,54,3,2,1,46,970,405,533,7,10,6,2.3293345728266037,5.160572560111499,4.252870888250729,1.782775783957996,1.0789922078775833,0.6730116670092565,-0.0
b4af3d29-7cf7-469b-aab5-a5a3756b86ab_gdc_realn_rehead,0,14,5,13,1,0,1,0,34,20,55,3,0,3,0,2.6085612846580473,1.4184836619456564,2.137816150204124,-0.0,0,-0.0
b4b4f1c0-619b-4be7-b12d-7a75964145a9_gdc_realn_rehead,15,293,156,57,3,3,0,303,2211,1291,270,7,8,0,1.2380506859253961,4.536314594326411,3.6823498939986052,3.672200391360625,1.0789922078775833,1.0397207708399179,0
b4f01540-6a25-4ef6-8903-d74d639b1a2c_gdc_realn_rehead,43,599,272,104,0,5,1,184,10091,4535,689,0,17,2,3.5535119247480504,4.611054124717176,3.9734202748556244,4.04161211726657,0,1.5643701028927681,-0.0
b551a3be-3e32-4ae7-823e-0f4753da8965_gdc_realn_rehead,124,1411,556,432,6,9,1,1243,21714,8561,3126,40,25,2,3.681040031152929,4.764438498883332,4.411659624136898,5.36145494547557,1.2905273410328144,2.0334586357769107,-0.0
b6c7b112-81cb-4ae6-b604-1564eabc7aec_gdc_realn_rehead,24,281,44,92,2,1,0,80,1270,214,3377,5,2,0,3.061913802296592,5.076820338800374,3.356686570334812,0.8555304923151142,0.6730116670092565,-0.0,0
b7153e44-127c-43c2-a5ab-2f5974d16d48_gdc_realn_rehead,129,1391,431,395,2,8,0,702,13131,3259,3756,4,117,0,4.38504566640305,5.967827797062585,4.921670783732985,4.351459314262033,0.6931471805599453,1.0015547665137787,0
b77fa2a0-902b-4a38-9944-83d956a4969b_gdc_realn_rehead,97,781,341,242,12,12,0,937,52191,12323,22715,36,161,0,3.522582025294692,3.747321005343027,2.944653853904331,1.5455569851196882,2.414236329788662,1.0897393981594694,0
b79a9278-cdfb-429b-8439-f78b61b2a463_gdc_realn_rehead,25,366,106,112,2,8,0,110,2974,898,582,4,76,0,2.796859886546261,4.5158388352762415,3.46015301240673,4.007441299198709,0.6931471805599453,1.4489408067599836,0
b7b8be68-e8b7-44bd-90af-e4ac937c6099_gdc_realn_rehead,19,330,127,57,0,1,0,94,2456,683,1178,0,2,0,2.597773197921839,4.818394272431943,4.338245165297445,1.3055369602933804,0,-0.0,0
b7e85d12-23f5-4be5-aafb-c4706eae58e7_gdc_realn_rehead,209,1975,701,862,11,21,4,2113,30062,9426,12862,35,114,21,4.1669488779050585,5.583588993089442,5.035064564038841,3.28954306481529,2.3078075373945057,2.4097865285249918,1.0767934024792074
b8904881-f41a-4e7b-9b16-7364f4392c29_gdc_realn_rehead,39,481,151,104,0,4,0,215,5011,1232,1262,0,72,0,3.3430749363581014,5.1847136837302195,3.9537008921569363,3.420245450158162,0,0.6498945629129429,0
b91daf0b-045f-48b9-8323-705e23db9ef8_gdc_realn_rehead,92,773,576,154,12,7,0,1740,4972,4833,916,50,70,0,2.1761694613176106,5.913319757775676,4.983446344399396,4.351118748409389,2.179058194638907,1.3409032273210815,0
b95bf0a9-afca-47c5-9f48-f7de055e21bc_gdc_realn_rehead,4,36,16,46,1,1,0,56,204,200,9136,2,2,0,0.8791512620666182,3.019552977481638,1.4325230515602507,0.20146911465744582,-0.0,-0.0,0
