sample,n_unique_pe,n_unm_both_pe,n_unm1_pe,n_unm2_pe
005301a4-1151-4421-9c73-961a7b628b63_gdc_realn_rehead,91580885,950827,782275,2563499
01d7c202-af14-4720-92ad-6c9ab5273e5b_gdc_realn_rehead,35715236,77486,252744,1015800
02b776d9-d5eb-4b34-9854-82d4cfae4751_gdc_realn_rehead,48855752,812655,442081,1041584
0330e749-318e-4de9-9c99-1443594b6360_gdc_realn_rehead,51980727,175504,545379,1147135
033f395d-f27b-4199-a16f-6bd6b18449a4_gdc_realn_rehead,62156224,832168,657735,2396536
03e07184-68da-4e59-abb6-c5b6526c990c_gdc_realn_rehead,62204278,1456740,506167,1283342
053bca4b-74e4-4fba-bd0d-7b2c2d678a66_gdc_realn_rehead,48336052,344083,469186,2431041
05856688-714a-446b-8652-d38e94d7ae93_gdc_realn_rehead,117594981,956914,629662,2347349
058ef2a4-a1f9-40ea-ad44-b4e00dc5b014_gdc_realn_rehead,60236589,396036,414055,1059451
0601965e-336a-474e-85c0-398a3c4d7782_gdc_realn_rehead,65503715,1072954,369787,1303024
06904d76-38ca-4c2a-8699-a57aacce0ec2_gdc_realn_rehead,91971289,406891,550800,1554511
0699db2f-847c-4944-8b5e-2f2a196d5707_gdc_realn_rehead,31788293,90517,356230,650968
077dd646-bab9-4a29-8994-105e1a9f6def_gdc_realn_rehead,56738796,645055,778492,1753783
07c72ab1-765a-4cad-a8f5-b219b1df8089_gdc_realn_rehead,47642536,217104,332236,912141
07f95427-39be-4884-b539-c9f3e329bebc_gdc_realn_rehead,38118198,136554,275261,598255
0813f7de-f80a-488b-a275-e4636629aca3_gdc_realn_rehead,102582851,966987,688889,1745334
086e890b-cdc3-455e-84a8-66dbfa3aae11_gdc_realn_rehead,102282043,835510,677349,1514776
088964d1-025c-4080-9cc9-11a233abcd7f_gdc_realn_rehead,36934921,207449,458389,714059
091d8ab7-7cad-4921-b2c2-4304ed611fc9_gdc_realn_rehead,34195820,179560,290521,821941
09646946-fcec-44b7-8b26-a7ce89012ab1_gdc_realn_rehead,98596019,4895727,1029598,1516533
0a18b687-11be-427b-82a9-b11d80b0ea3d_gdc_realn_rehead,72640175,538070,482962,2569037
0a8e1c17-5ac8-4509-9741-ec1c59c5cebc_gdc_realn_rehead,47295735,393946,373764,907108
0d3c1f7c-8aab-4cdb-a652-d873b630de45_gdc_realn_rehead,47323574,110567,383541,1245439
0d6e7057-6aa8-46ff-9e9b-e0ba237eb19b_gdc_realn_rehead,51488456,430812,325891,1254548
0da55f74-bd6d-4b13-88db-20863165b06b_gdc_realn_rehead,32063135,95934,399118,1327468
0daa1a31-b86c-4353-b403-59db8ebcb851_gdc_realn_rehead,42233522,107211,271397,578939
