Sample ID,chain_type,wxs_count
TCGA-75-5147-01A,IGH,0
TCGA-75-5147-01A,IGL,0
TCGA-75-5147-01A,IGK,0
TCGA-75-5147-01A,TRA,1
TCGA-75-5147-01A,TRB,0
TCGA-75-5147-01A,TRD,0
TCGA-75-5147-01A,TRG,0
TCGA-75-7027-01A,IGH,0
TCGA-75-7027-01A,IGL,0
TCGA-75-7027-01A,IGK,0
TCGA-75-7027-01A,TRA,1
TCGA-75-7027-01A,TRB,0
TCGA-75-7027-01A,TRD,0
TCGA-75-7027-01A,TRG,0
TCGA-50-5932-01A,IGH,0
TCGA-50-5932-01A,IGL,0
TCGA-50-5932-01A,IGK,0
TCGA-50-5932-01A,TRA,1
TCGA-50-5932-01A,TRB,0
TCGA-50-5932-01A,TRD,0
TCGA-50-5932-01A,TRG,0
TCGA-55-A4DF-01A,IGH,0
TCGA-55-A4DF-01A,IGL,0
TCGA-55-A4DF-01A,IGK,0
TCGA-55-A4DF-01A,TRA,2
TCGA-55-A4DF-01A,TRB,0
TCGA-55-A4DF-01A,TRD,0
TCGA-55-A4DF-01A,TRG,0
TCGA-73-7499-01A,IGH,0
TCGA-73-7499-01A,IGL,0
TCGA-73-7499-01A,IGK,0
TCGA-73-7499-01A,TRA,2
TCGA-73-7499-01A,TRB,2
TCGA-73-7499-01A,TRD,0
TCGA-73-7499-01A,TRG,0
TCGA-75-5126-01A,IGH,0
TCGA-75-5126-01A,IGL,0
TCGA-75-5126-01A,IGK,0
TCGA-75-5126-01A,TRA,0
TCGA-75-5126-01A,TRB,0
TCGA-75-5126-01A,TRD,0
TCGA-75-5126-01A,TRG,0
TCGA-62-A471-01A,IGH,0
TCGA-62-A471-01A,IGL,0
TCGA-62-A471-01A,IGK,0
TCGA-62-A471-01A,TRA,0
TCGA-62-A471-01A,TRB,0
TCGA-62-A471-01A,TRD,0
TCGA-62-A471-01A,TRG,0
TCGA-49-4514-01A,IGH,0
TCGA-49-4514-01A,IGL,0
TCGA-49-4514-01A,IGK,0
TCGA-49-4514-01A,TRA,0
TCGA-49-4514-01A,TRB,0
TCGA-49-4514-01A,TRD,0
TCGA-49-4514-01A,TRG,0
TCGA-67-6216-01A,IGH,0
TCGA-67-6216-01A,IGL,0
TCGA-67-6216-01A,IGK,0
TCGA-67-6216-01A,TRA,0
TCGA-67-6216-01A,TRB,1
TCGA-67-6216-01A,TRD,0
TCGA-67-6216-01A,TRG,0
TCGA-50-8457-01A,IGH,0
TCGA-50-8457-01A,IGL,0
TCGA-50-8457-01A,IGK,0
TCGA-50-8457-01A,TRA,1
TCGA-50-8457-01A,TRB,0
TCGA-50-8457-01A,TRD,0
TCGA-50-8457-01A,TRG,0
TCGA-78-7160-01A,IGH,0
TCGA-78-7160-01A,IGL,0
TCGA-78-7160-01A,IGK,0
TCGA-78-7160-01A,TRA,0
TCGA-78-7160-01A,TRB,0
TCGA-78-7160-01A,TRD,0
TCGA-78-7160-01A,TRG,0
TCGA-93-A4JN-01A,IGH,0
TCGA-93-A4JN-01A,IGL,0
TCGA-93-A4JN-01A,IGK,0
TCGA-93-A4JN-01A,TRA,0
TCGA-93-A4JN-01A,TRB,1
TCGA-93-A4JN-01A,TRD,0
TCGA-93-A4JN-01A,TRG,0
