Sample ID,chain_type,rna_count
TCGA-55-7911-01A,IGK,793
TCGA-55-7911-01A,TRA,131
TCGA-55-7911-01A,TRB,4
TCGA-55-7911-01A,TRD,2
TCGA-55-7911-01A,TRG,2
TCGA-05-4403-01A,IGH,47
TCGA-05-4403-01A,IGL,255
TCGA-05-4403-01A,IGK,1007
TCGA-05-4403-01A,TRA,264
TCGA-05-4403-01A,TRB,5
TCGA-05-4403-01A,TRD,6
TCGA-05-4403-01A,TRG,1
TCGA-38-4626-01A,IGH,19
TCGA-38-4626-01A,IGL,125
TCGA-38-4626-01A,IGK,459
TCGA-38-4626-01A,TRA,128
TCGA-38-4626-01A,TRB,8
TCGA-38-4626-01A,TRD,3
TCGA-38-4626-01A,TRG,2
TCGA-55-A48Y-01A,IGH,95
TCGA-55-A48Y-01A,IGL,360
TCGA-55-A48Y-01A,IGK,920
TCGA-55-A48Y-01A,TRA,295
TCGA-55-A48Y-01A,TRB,6
TCGA-55-A48Y-01A,TRD,3
TCGA-55-A48Y-01A,TRG,0
TCGA-44-7662-01A,IGH,250
TCGA-44-7662-01A,IGL,771
TCGA-44-7662-01A,IGK,2213
TCGA-44-7662-01A,TRA,549
TCGA-44-7662-01A,TRB,12
TCGA-44-7662-01A,TRD,20
TCGA-44-7662-01A,TRG,0
TCGA-55-7573-01A,IGH,18
TCGA-55-7573-01A,IGL,148
TCGA-55-7573-01A,IGK,617
TCGA-55-7573-01A,TRA,126
TCGA-55-7573-01A,TRB,3
TCGA-55-7573-01A,TRD,3
TCGA-55-7573-01A,TRG,0
TCGA-78-7633-01A,IGH,4
TCGA-78-7633-01A,IGL,16
TCGA-78-7633-01A,IGK,36
TCGA-78-7633-01A,TRA,46
TCGA-78-7633-01A,TRB,1
TCGA-78-7633-01A,TRD,1
TCGA-78-7633-01A,TRG,0
TCGA-97-A4M6-01A,IGH,22
TCGA-97-A4M6-01A,IGL,165
TCGA-97-A4M6-01A,IGK,315
TCGA-97-A4M6-01A,TRA,75
TCGA-97-A4M6-01A,TRB,8
TCGA-97-A4M6-01A,TRD,2
TCGA-97-A4M6-01A,TRG,0
TCGA-91-8496-01A,IGH,3
TCGA-91-8496-01A,IGL,16
TCGA-91-8496-01A,IGK,36
TCGA-91-8496-01A,TRA,23
TCGA-91-8496-01A,TRB,4
TCGA-91-8496-01A,TRD,0
TCGA-91-8496-01A,TRG,0
TCGA-49-AAR4-01A,IGH,120
TCGA-49-AAR4-01A,IGL,928
TCGA-49-AAR4-01A,IGK,1908
TCGA-49-AAR4-01A,TRA,318
TCGA-49-AAR4-01A,TRB,15
TCGA-49-AAR4-01A,TRD,23
TCGA-49-AAR4-01A,TRG,0
TCGA-MP-A4T9-01A,IGH,24
TCGA-MP-A4T9-01A,IGL,128
TCGA-MP-A4T9-01A,IGK,365
TCGA-MP-A4T9-01A,TRA,87
TCGA-MP-A4T9-01A,TRB,3
TCGA-MP-A4T9-01A,TRD,4
TCGA-MP-A4T9-01A,TRG,0
TCGA-95-7043-01A,IGH,18
TCGA-95-7043-01A,IGL,62
TCGA-95-7043-01A,IGK,256
TCGA-95-7043-01A,TRA,49
TCGA-95-7043-01A,TRB,2
TCGA-95-7043-01A,TRD,3
TCGA-95-7043-01A,TRG,0
TCGA-55-7725-01A,IGH,7
TCGA-55-7725-01A,IGL,63
TCGA-55-7725-01A,IGK,225
TCGA-55-7725-01A,TRA,61
TCGA-55-7725-01A,TRB,1
TCGA-55-7725-01A,TRD,1
TCGA-55-7725-01A,TRG,0
TCGA-78-7542-01A,IGH,18
TCGA-78-7542-01A,IGL,137
TCGA-78-7542-01A,IGK,330
TCGA-78-7542-01A,TRA,96
TCGA-78-7542-01A,TRB,4
